time,lat,lon,alt_GND[m],temp[°C],v[kmh],v[knts],cours[deg],Acc_x0[g],Acc_y0[g],Acc_z0[g],Gyro_x0[deg_s],Gyro_y0[deg_s],Gyro_z0[deg_s],Acc_x1[g],Acc_y1[g],Acc_z1[g],Gyro_x1[deg_s],Gyro_y1[deg_s],Gyro_z1[deg_s],Acc_x2[g],Acc_y2[g],Acc_z2[g],Gyro_x2[deg_s],Gyro_y2[deg_s],Gyro_z2[deg_s],Acc_x3[g],Acc_y3[g],Acc_z3[g],Gyro_x3[deg_s],Gyro_y3[deg_s],Gyro_z3[deg_s],Acc_x4[g],Acc_y4[g],Acc_z4[g],Gyro_x4[deg_s],Gyro_y4[deg_s],Gyro_z4[deg_s],sat[n]
27.05.2025 14:22:45.070,0,0,0,24.35058823529412,0,0,0,0.017962890625,0.022287109375,1.25955859375,3.619236641221374,-0.3916030534351146,-0.8846564885496182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.078,0,0,0,24.35058823529412,0,0,0,0.01771875,0.021798828125,1.2590703125,3.5581679389312977,-0.7809160305343512,-0.8770229007633588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.085,0,0,0,24.35058823529412,0,0,0,0.017962890625,0.0215546875,1.25955859375,3.5810687022900765,-1.0709923664122138,-0.8770229007633588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.092,0,0,0,24.353529411764708,0,0,0,0.017962890625,0.02204296875,1.259314453125,3.5581679389312977,-1.3076335877862595,-0.9151908396946564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.099,0,0,0,24.356470588235297,0,0,0,0.01771875,0.02253125,1.25955859375,3.535267175572519,-1.536641221374046,-0.9457251908396946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.106,0,0,0,24.353529411764708,0,0,0,0.01771875,0.02253125,1.25955859375,3.5047328244274807,-1.6893129770992368,-0.9686259541984732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.113,0,0,0,24.35058823529412,0,0,0,0.01771875,0.023263671875,1.259314453125,3.4436641221374047,-1.8038167938931298,-0.9915267175572517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.120,0,0,0,24.34470588235294,0,0,0,0.01820703125,0.023263671875,1.258826171875,3.374961832061069,-1.8648854961832062,-1.0296946564885496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.128,0,0,0,24.35058823529412,0,0,0,0.0186953125,0.023263671875,1.258826171875,3.268091603053435,-1.8419847328244274,-1.0831297709923664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27.05.2025 14:22:45.135,0,0,0,24.353529411764708,0,0,0,0.0186953125,0.023263671875,1.25955859375,3.1764885496183206,-1.8190839694656489,-1.1747328244274808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
